Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: по часовой стрелке
Скорость движения: 50.0 мм/с
Рабочий дальномер: правый (Rf_R)
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, данные дальномера об объекте

          Time   X_rob   Y_rob  Ang_rob    Rf_R
  чч:мм:сс.ссс      мм      мм     град      мм
  11:29:35.953    -4.3   760.6     89.8   620.0
  11:29:35.984    -4.3   763.0     89.8   580.0
  11:29:36.031    -4.3   765.2     89.8   580.0
  11:29:36.062    -4.3   767.6     89.8   560.0
  11:29:36.109    -4.3   767.6     89.8   550.0
  11:29:36.140    -4.3   770.0     89.8   550.0
  11:29:36.187    -4.3   772.3     89.8   550.0
  11:29:36.234    -4.3   774.7     89.8   550.0
  11:29:36.281    -4.3   777.8     89.8   550.0
  11:29:36.328    -4.3   780.1     89.8   550.0
  11:29:36.359    -4.3   780.1     89.8   540.0
  11:29:36.406    -4.3   782.5     89.8   540.0
  11:29:36.453    -4.2   784.8     89.8   540.0
  11:29:36.500    -4.2   787.1     89.8   540.0
  11:29:36.531    -4.2   789.4     89.8   540.0
  11:29:36.578    -4.2   791.8     89.8   540.0
  11:29:36.640    -4.2   794.2     89.8   540.0
  11:29:36.671    -4.2   796.5     89.8   540.0
  11:29:36.718    -4.2   798.8     89.8   540.0
  11:29:36.750    -4.2   801.2     89.8   540.0
  11:29:36.796    -4.2   801.2     89.8   540.0
  11:29:36.843    -4.2   803.4     89.8   530.0
  11:29:36.890    -4.2   806.3     89.8   530.0
  11:29:36.921    -4.2   808.1     89.8   530.0
  11:29:36.968    -4.2   810.5     89.8   530.0
  11:29:37.015    -4.2   812.8     89.8   530.0
  11:29:37.046    -4.1   815.5     89.8   530.0
  11:29:37.093    -4.1   817.5     89.8   530.0
  11:29:37.140    -4.1   819.9     89.8   530.0
  11:29:37.187    -4.1   822.1     89.8   530.0
  11:29:37.250    -4.1   824.5     89.8   530.0
  11:29:37.281    -4.1   824.5     89.8   530.0
  11:29:37.312    -4.1   826.9     89.8   530.0
  11:29:37.359    -4.1   829.3     89.8   520.0
  11:29:37.406    -4.1   831.5     89.8   520.0
  11:29:37.453    -4.1   833.9     89.8   520.0
  11:29:37.484    -4.1   836.2     89.8   520.0
  11:29:37.531    -4.1   838.6     89.8   520.0
  11:29:37.578    -4.1   840.8     89.8   520.0
  11:29:37.625    -4.0   843.3     89.8   520.0
  11:29:37.656    -4.0   845.6     89.8   520.0
  11:29:37.703    -4.0   845.6     89.8   520.0
  11:29:37.750    -4.0   848.0     89.8   520.0
  11:29:37.781    -4.0   850.3     89.8   520.0
  11:29:37.828    -4.0   852.6     89.8   520.0
  11:29:37.875    -4.0   855.0     89.8   520.0
  11:29:37.921    -4.0   857.3     89.8   520.0
