Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: против часовой стрелки
Скорость движения: 50.0 мм/с
Рабочий дальномер: левый (Rf_L)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1

Выходная информация: положение робота, данные дальномера об объекте

          Time   X_rob   Y_rob  Ang_rob    Rf_L
  чч:мм:сс.ссс      мм      мм     град      мм
  11:22:39.718   819.7   -33.6      1.9   950.0
  11:22:39.765   822.0   -33.5      1.9   880.0
  11:22:39.796   824.4   -33.4      1.9   890.0
  11:22:39.843   826.7   -33.3      1.9   880.0
  11:22:39.890   829.0   -33.3      1.9   800.0
  11:22:39.937   831.3   -33.2      1.9   800.0
  11:22:39.968   831.3   -33.2      1.9   770.0
  11:22:40.015   833.7   -33.1      1.9   770.0
  11:22:40.062   836.0   -33.0      1.9   770.0
  11:22:40.109   838.4   -32.9      1.9   760.0
  11:22:40.156   840.7   -32.9      1.9   750.0
  11:22:40.187   843.1   -32.8      1.9   750.0
  11:22:40.234   845.5   -32.7      1.9   760.0
  11:22:40.281   847.8   -32.6      1.9   760.0
  11:22:40.328   850.0   -32.6      1.9   760.0
  11:22:40.375   852.4   -32.5      1.9   740.0
  11:22:40.406   854.7   -32.4      1.9   740.0
  11:22:40.453   854.7   -32.4      1.9   750.0
  11:22:40.500   857.4   -32.3      1.9   740.0
  11:22:40.531   859.4   -32.2      1.9   740.0
  11:22:40.578   861.7   -32.2      1.9   740.0
  11:22:40.640   864.1   -32.1      1.9   740.0
  11:22:40.671   867.3   -32.0      1.9   740.0
  11:22:40.718   867.3   -32.0      1.9   740.0
  11:22:40.750   869.6   -31.9      1.9   730.0
  11:22:40.796   871.9   -31.8      1.9   730.0
  11:22:40.828   874.3   -31.8      1.9   730.0
  11:22:40.875   876.6   -31.7      1.9   730.0
  11:22:40.921   878.9   -31.6      1.9   720.0
  11:22:40.968   881.2   -31.5      1.9   730.0
  11:22:41.000   883.7   -31.4      1.9   720.0
  11:22:41.046   883.7   -31.4      1.9   720.0
  11:22:41.078   886.1   -31.4      1.9   720.0
  11:22:41.125   888.2   -31.3      1.9   710.0
  11:22:41.171   890.6   -31.2      1.9   710.0
  11:22:41.218   892.9   -31.1      1.9   710.0
  11:22:41.250   895.2   -31.1      1.9   710.0
  11:22:41.296   897.7   -31.0      1.9   710.0
  11:22:41.343   900.0   -30.9      1.9   710.0
  11:22:41.390   902.4   -30.8      1.9   710.0
  11:22:41.437   904.6   -30.7      1.9   690.0
  11:22:41.468   904.6   -30.7      1.9   700.0
  11:22:41.515   906.9   -30.7      1.9   700.0
  11:22:41.562   909.3   -30.6      1.9   690.0
  11:22:41.593   911.6   -30.5      1.9   690.0
  11:22:41.640   914.0   -30.4      1.9   690.0
  11:22:41.687   916.4   -30.4      1.9   680.0
  11:22:41.734   918.7   -30.3      1.9   680.0
  11:22:41.765   921.0   -30.2      1.9   670.0
  11:22:41.812   921.0   -30.2      1.9   670.0
  11:22:41.859   923.3   -30.1      1.9   670.0
  11:22:41.906   925.8   -30.0      1.9   670.0
  11:22:41.953   928.0   -30.0      1.9   670.0
  11:22:41.984   930.3   -29.9      1.9   670.0
  11:22:42.031   932.7   -29.8      1.9   660.0
  11:22:42.062   935.1   -29.7      1.9   660.0
  11:22:42.109   937.3   -29.7      1.9   660.0
  11:22:42.140   937.3   -29.7      1.9   660.0
  11:22:42.187   939.6   -29.6      1.9   650.0
  11:22:42.234   942.0   -29.5      1.9   650.0
  11:22:42.281   944.5   -29.4      1.9   650.0
  11:22:42.328   946.8   -29.3      1.9   650.0
  11:22:42.359   949.1   -29.3      1.9   650.0
  11:22:42.406   951.4   -29.2      1.9   650.0
  11:22:42.453   953.9   -29.1      1.9   640.0
  11:22:42.500   956.1   -29.0      1.9   640.0
  11:22:42.531   958.5   -29.0      1.9   640.0
  11:22:42.578   960.8   -28.9      1.9   640.0
  11:22:42.625   960.8   -28.9      1.9   640.0
  11:22:42.671   963.0   -28.8      1.9   620.0
  11:22:42.718   965.5   -28.7      1.9   610.0
  11:22:42.750   967.8   -28.7      1.9   620.0
  11:22:42.796   970.1   -28.6      1.9   620.0
  11:22:42.843   972.4   -28.5      1.9   620.0
  11:22:42.875   974.8   -28.4      1.9   620.0
  11:22:42.921   977.3   -28.3      1.9   610.0
  11:22:42.968   979.5   -28.3      1.9   600.0
  11:22:43.000   979.5   -28.3      1.9   610.0
  11:22:43.062   981.8   -28.2      1.9   610.0
  11:22:43.093   984.1   -28.1      1.9   600.0
  11:22:43.140   986.5   -28.0      1.9   600.0
  11:22:43.187   988.7   -28.0      1.9   600.0
  11:22:43.234   991.2   -27.9      1.9   600.0
  11:22:43.265   993.4   -27.8      1.9   600.0
  11:22:43.312   996.2   -27.7      1.9   590.0
  11:22:43.359   998.2   -27.6      1.9   590.0
  11:22:43.406  1000.5   -27.6      1.9   590.0
  11:22:43.437  1002.9   -27.5      1.9   590.0
  11:22:43.484  1002.9   -27.5      1.9   590.0
  11:22:43.531  1005.2   -27.4      1.9   590.0
  11:22:43.562  1007.5   -27.3      1.9   590.0
  11:22:43.609  1009.9   -27.3      1.9   590.0
  11:22:43.656  1012.2   -27.2      1.9   590.0
  11:22:43.703  1014.5   -27.1      1.9   590.0
  11:22:43.734  1016.8   -27.0      1.9   590.0
  11:22:43.781  1019.2   -27.0      1.9   590.0
  11:22:43.828  1021.5   -26.9      1.9   590.0
  11:22:43.875  1021.5   -26.9      1.9   590.0
  11:22:43.906  1023.8   -26.8      1.9   590.0
  11:22:43.937  1026.2   -26.7      1.9   590.0
  11:22:43.984  1028.6   -26.6      1.9   590.0
  11:22:44.031  1030.9   -26.6      1.9   590.0
  11:22:44.093  1033.2   -26.5      1.9   590.0
  11:22:44.125  1035.5   -26.4      1.9   590.0
  11:22:44.156  1037.8   -26.3      1.9   590.0
  11:22:44.203  1037.8   -26.3      1.9   590.0
  11:22:44.250  1040.2   -26.3      1.9   570.0
  11:22:44.296  1042.6   -26.2      1.9   580.0
  11:22:44.328  1044.9   -26.1      1.9   580.0
  11:22:44.375  1047.2   -26.0      1.9   580.0
  11:22:44.421  1049.5   -25.9      1.9   580.0
  11:22:44.468  1052.0   -25.9      1.9   580.0
  11:22:44.500  1054.2   -25.8      1.9   580.0
  11:22:44.546  1056.7   -25.7      1.9   580.0
  11:22:44.593  1056.7   -25.7      1.9   580.0
  11:22:44.640  1059.0   -25.6      1.9   580.0
  11:22:44.671  1061.2   -25.6      1.9   580.0
  11:22:44.718  1063.6   -25.5      1.9   580.0
  11:22:44.765  1066.0   -25.4      1.9   580.0
  11:22:44.812  1068.3   -25.3      1.9   580.0
  11:22:44.843  1070.6   -25.2      1.9   580.0
  11:22:44.906  1073.0   -25.2      1.9   580.0
  11:22:44.937  1075.4   -25.1      1.9   580.0
  11:22:44.984  1077.7   -25.0      1.9   580.0
  11:22:45.015  1077.7   -25.0      1.9   580.0
  11:22:45.062  1080.0   -24.9      1.9   580.0
  11:22:45.109  1082.3   -24.9      1.9   570.0
  11:22:45.156  1085.1   -24.8      1.9   560.0
  11:22:45.203  1086.9   -24.7      1.9   560.0
  11:22:45.234  1089.3   -24.6      1.9   570.0
  11:22:45.281  1091.6   -24.5      1.9   570.0
  11:22:45.328  1094.4   -24.5      1.9   570.0
  11:22:45.375  1096.3   -24.4      1.9   570.0
  11:22:45.406  1098.6   -24.3      1.9   570.0
  11:22:45.453  1101.0   -24.2      1.9   570.0
  11:22:45.515  1103.4   -24.2      1.9   560.0
  11:22:45.531  1103.4   -24.2      1.9   560.0
  11:22:45.578  1105.7   -24.1      1.9   560.0
  11:22:45.625  1108.1   -24.0      1.9   560.0
  11:22:45.671  1110.3   -23.9      1.9   560.0
  11:22:45.703  1112.8   -23.8      1.9   560.0
  11:22:45.750  1115.1   -23.8      1.9   560.0
