Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: против часовой стрелки
Скорость движения: 50.0 мм/с
Рабочий дальномер: левый (Rf_L)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1

Выходная информация: положение робота, данные дальномера об объекте

          Time   X_rob   Y_rob  Ang_rob    Rf_L
  чч:мм:сс.ссс      мм      мм     град      мм
  12:11:19.906   787.1   -28.9      1.6  1010.0
  12:11:19.953   789.5   -28.8      1.6   920.0
  12:11:20.000   791.9   -28.8      1.6  1010.0
  12:11:20.046   794.3   -28.7      1.6   920.0
  12:11:20.078   796.5   -28.6      1.6   820.0
  12:11:20.125   798.9   -28.6      1.6   820.0
  12:11:20.171   801.1   -28.5      1.6   660.0
  12:11:20.218   801.1   -28.5      1.6   620.0
  12:11:20.265   803.4   -28.4      1.6   620.0
  12:11:20.296   805.8   -28.4      1.6   600.0
  12:11:20.343   808.4   -28.3      1.6   600.0
  12:11:20.359   810.6   -28.2      1.6   600.0
  12:11:20.406   810.6   -28.2      1.6   590.0
  12:11:20.453   813.0   -28.2      1.6   570.0
  12:11:20.500   815.2   -28.1      1.6   570.0
  12:11:20.531   817.6   -28.0      1.6   560.0
  12:11:20.578   819.8   -28.0      1.6   550.0
  12:11:20.625   822.2   -27.9      1.6   560.0
  12:11:20.671   824.6   -27.9      1.6   560.0
  12:11:20.703   827.0   -27.8      1.6   550.0
  12:11:20.750   829.2   -27.7      1.6   550.0
  12:11:20.796   831.6   -27.7      1.6   540.0
  12:11:20.828   831.6   -27.7      1.6   530.0
  12:11:20.875   833.9   -27.6      1.6   530.0
  12:11:20.921   836.3   -27.5      1.6   510.0
  12:11:20.968   838.6   -27.5      1.6   510.0
  12:11:21.015   840.9   -27.4      1.6   510.0
  12:11:21.046   843.3   -27.3      1.6   510.0
  12:11:21.093   846.3   -27.3      1.6   510.0
  12:11:21.140   846.3   -27.3      1.6   510.0
  12:11:21.187   848.7   -27.2      1.6   500.0
  12:11:21.234   851.0   -27.1      1.6   490.0
  12:11:21.265   853.6   -27.1      1.6   490.0
  12:11:21.312   855.7   -27.0      1.6   490.0
  12:11:21.359   858.0   -26.9      1.6   480.0
  12:11:21.390   860.4   -26.9      1.6   480.0
  12:11:21.437   862.7   -26.8      1.6   480.0
  12:11:21.484   865.1   -26.7      1.6   470.0
  12:11:21.531   867.4   -26.7      1.6   470.0
  12:11:21.562   867.4   -26.7      1.6   460.0
  12:11:21.609   869.8   -26.6      1.6   460.0
  12:11:21.656   872.1   -26.5      1.6   460.0
  12:11:21.671   874.4   -26.5      1.6   450.0
