Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: по часовой стрелке
Скорость движения: 50.0 мм/с
Рабочий дальномер: правый (Rf_R)
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, данные дальномера об объекте

          Time   X_rob   Y_rob  Ang_rob    Rf_R
  чч:мм:сс.ссс      мм      мм     град      мм
  12:17:59.906   -10.5   780.4     89.5   890.0
  12:17:59.937   -10.5   782.7     89.5   690.0
  12:17:59.984   -10.5   785.0     89.5   690.0
  12:18:00.031   -10.4   787.3     89.5   480.0
  12:18:00.078   -10.4   789.6     89.5   460.0
  12:18:00.125   -10.4   792.1     89.5   460.0
  12:18:00.156   -10.4   794.4     89.5   460.0
  12:18:00.203   -10.4   794.4     89.5   460.0
  12:18:00.250   -10.4   797.4     89.5   460.0
  12:18:00.281   -10.3   799.9     89.5   450.0
  12:18:00.328   -10.3   802.3     89.5   450.0
  12:18:00.375   -10.3   804.5     89.5   450.0
  12:18:00.421   -10.3   806.9     89.5   450.0
  12:18:00.453   -10.2   809.3     89.5   450.0
  12:18:00.500   -10.2   809.3     89.5   450.0
  12:18:00.531   -10.2   811.6     89.5   450.0
  12:18:00.578   -10.2   813.9     89.5   450.0
  12:18:00.625   -10.2   816.1     89.5   450.0
  12:18:00.671   -10.2   818.5     89.5   450.0
  12:18:00.703   -10.1   821.0     89.5   450.0
  12:18:00.750   -10.1   823.3     89.5   450.0
  12:18:00.796   -10.1   825.6     89.5   440.0
  12:18:00.843   -10.1   827.9     89.5   440.0
  12:18:00.890   -10.1   827.9     89.5   440.0
  12:18:00.921   -10.0   830.3     89.5   440.0
  12:18:00.968   -10.0   832.5     89.5   440.0
  12:18:01.000   -10.0   835.0     89.5   440.0
  12:18:01.046   -10.0   837.2     89.5   450.0
  12:18:01.093   -10.0   839.6     89.5   440.0
  12:18:01.125    -9.9   842.0     89.5   440.0
  12:18:01.171    -9.9   842.0     89.5   440.0
  12:18:01.203    -9.9   844.2     89.5   440.0
  12:18:01.250    -9.9   846.6     89.5   440.0
  12:18:01.296    -9.9   848.9     89.5   440.0
  12:18:01.343    -9.8   851.4     89.5   440.0
  12:18:01.375    -9.8   853.6     89.5   440.0
  12:18:01.437    -9.8   856.0     89.5   440.0
  12:18:01.453    -9.8   856.0     89.5   440.0
  12:18:01.500    -9.8   859.1     89.5   440.0
  12:18:01.546    -9.8   861.5     89.5   440.0
  12:18:01.593    -9.7   863.7     89.5   440.0
  12:18:01.625    -9.7   866.4     89.5   440.0
  12:18:01.671    -9.7   868.5     89.5   440.0
  12:18:01.718    -9.7   870.8     89.5   440.0
  12:18:01.765    -9.7   870.8     89.5   440.0
  12:18:01.796    -9.6   873.1     89.5   440.0
  12:18:01.843    -9.6   875.5     89.5   440.0
  12:18:01.875    -9.6   877.8     89.5   440.0
  12:18:01.921    -9.6   880.2     89.5   440.0
  12:18:01.968    -9.6   882.4     89.5   440.0
