Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: по часовой стрелке
Скорость движения: 50.0 мм/с
Рабочий дальномер: правый (Rf_R)
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, данные дальномера об объекте

          Time   X_rob   Y_rob  Ang_rob    Rf_R
  чч:мм:сс.ссс      мм      мм     град      мм
  11:15:33.968    16.3   883.9     91.0  1070.0
  11:15:34.015    16.3   886.3     91.0   740.0
  11:15:34.062    16.2   888.7     91.0   740.0
  11:15:34.093    16.2   888.7     91.0   530.0
  11:15:34.140    16.2   890.9     91.0   480.0
  11:15:34.187    16.2   893.2     91.0   480.0
  11:15:34.234    16.1   895.6     91.0   470.0
  11:15:34.265    16.1   898.0     91.0   470.0
  11:15:34.312    16.0   900.4     91.0   470.0
  11:15:34.359    16.0   902.6     91.0   470.0
  11:15:34.390    16.0   905.0     91.0   470.0
  11:15:34.437    15.9   907.3     91.0   470.0
  11:15:34.484    15.9   907.3     91.0   470.0
  11:15:34.531    15.9   909.6     91.0   470.0
  11:15:34.578    15.8   912.0     91.0   470.0
  11:15:34.609    15.8   914.3     91.0   460.0
  11:15:34.656    15.7   916.7     91.0   460.0
  11:15:34.703    15.7   919.0     91.0   470.0
  11:15:34.734    15.7   921.4     91.0   460.0
  11:15:34.781    15.6   923.7     91.0   460.0
  11:15:34.812    15.6   923.7     91.0   460.0
  11:15:34.859    15.6   926.0     91.0   460.0
  11:15:34.906    15.5   928.3     91.0   460.0
  11:15:34.937    15.5   930.7     91.0   460.0
  11:15:34.984    15.5   933.1     91.0   460.0
  11:15:35.031    15.4   935.4     91.0   460.0
  11:15:35.078    15.4   937.8     91.0   460.0
  11:15:35.109    15.3   940.2     91.0   460.0
  11:15:35.156    15.3   942.3     91.0   460.0
  11:15:35.203    15.3   942.3     91.0   460.0
  11:15:35.250    15.3   944.7     91.0   460.0
  11:15:35.281    15.2   947.0     91.0   450.0
  11:15:35.328    15.2   949.3     91.0   460.0
